age,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
Y15-29,THS_PER,TR	181.3 	179.3 	191.8 	188.7 	181.2 b	169.9 	159.7 	179 
Y15-29,THS_PER,UK	303.8 	345.7 	329.2 	301.4 	300.8 	261.7 	276.5 	258.1 
Y30-39,PC_EMP,AT	5.0 	4.6 	4.8 	4.8 	4.1 	4.3 	5.0 	4.3 
Y30-39,PC_EMP,BE	4.6 b	4.8 b	4.1 	4.5 	4.6 	4.6 	4.5 b	4.1 
Y30-39,PC_EMP,BG	3.0 	2.9 	2.8 	2.9 	2.9 	3.0 	3.0 	2.8 
Y30-39,PC_EMP,CH	5.4 	5.4 	5.7 	5.5 	5.3 	4.9 	5.3 	5.4 
Y30-39,PC_EMP,CY	4.1 	3.9 	3.6 	3.0 b	3.0 	2.9 	2.8 	3.1 
Y30-39,PC_EMP,CZ	4.3 	4.6 	4.5 	4.3 	3.9 	4.1 	3.7 	3.5 
Y30-39,PC_EMP,DE	4.2 	4.2 	4.3 	4.5 	4.5 	4.7 	4.8 b	4.6 
Y30-39,PC_EMP,DK	4.9 	4.8 b	5.6 b	5.7 	5.0 	5.5 	5.5 	5.4 
Y30-39,PC_EMP,EE	6.1 	5.6 	6.3 	6.4 	4.7 	6.0 	5.3 	4.5 
Y30-39,PC_EMP,EL	3.6 	3.8 	4.0 	3.4 	3.4 	4.0 	4.0 	3.9 
Y30-39,PC_EMP,ES	3.8 	4.0 	3.8 	3.8 	4.1 	3.9 	3.6 	3.4 
Y30-39,PC_EMP,EU28	4.1 	4.1 	4.1 	4.1 	4.1 	4.2 	4.1 	4.0 
Y30-39,PC_EMP,FI	5.7 	5.3 	5.5 	5.7 	5.2 	6.0 	6.1 	6.4 
Y30-39,PC_EMP,FR	3.8 	3.5 	3.5 	3.6 	3.8 b	3.9 b	3.4 	3.9 
Y30-39,PC_EMP,HR	2.7 	3.6 	3.4 	4.0 	3.9 	4.3 	3.8 	5.2 
Y30-39,PC_EMP,HU	3.3 	3.6 	3.8 	3.7 	3.6 	4.5 	3.8 	3.9 
Y30-39,PC_EMP,IE	3.9 	3.6 b	3.5 	3.5 	3.9 	3.8 	3.7 	3.8 
Y30-39,PC_EMP,IS	6.9 	5.6 	6.9 	6.5 	7.6 	7.2 	6.9 	7.3 
Y30-39,PC_EMP,IT	3.7 	4.0 b	3.9 	3.7 	3.8 	3.9 	3.9 	3.8 
Y30-39,PC_EMP,LT	4.4 	3.7 	3.8 	3.8 	3.8 	3.7 	3.7 	3.4 
Y30-39,PC_EMP,LU	6.2 	5.5 	4.7 	4.8 b	5.4 	4.9 	5.7 	5.8 
Y30-39,PC_EMP,LV	3.9 	4.7 	4.1 	3.5 	3.9 	3.8 	3.4 	2.9 
Y30-39,PC_EMP,ME	4.9 	2.9 u	3.3 u	3.6 	4.2 	4.5 	3.8 	4.6 
Y30-39,PC_EMP,MK	3.5 	3.9 	3.5 	2.8 	4.2 	4.1 	4.5 	4.5 
Y30-39,PC_EMP,MT	5.7 	4.9 	5.3 	4.8 	5.1 	4.4 	4.5 	4.0 
Y30-39,PC_EMP,NL	5.2 	4.7 	5.2 	5.4 	4.9 	5.2 b	5.0 	4.6 
Y30-39,PC_EMP,NO	4.3 	4.6 	4.7 	4.3 	4.5 	5.1 	5.9 	5.5 
Y30-39,PC_EMP,PL	3.8 	3.8 	3.8 	3.7 	3.6 	3.6 	3.6 	3.5 
Y30-39,PC_EMP,PT	3.6 	4.0 	3.9 	4.0 	4.2 	4.1 	3.5 	3.5 
Y30-39,PC_EMP,RO	2.0 	1.9 	1.8 	1.7 	1.9 	1.5 	1.9 	1.5 
Y30-39,PC_EMP,RS	3.6 	4.0 	3.5 	3.5 b	4.3 b	4.3 	2.9 	2.6 
Y30-39,PC_EMP,SE	5.2 	5.3 	5.6 	5.5 	5.6 	5.4 	5.3 	5.3 
Y30-39,PC_EMP,SI	5.0 	6.1 	6.1 	5.4 	6.5 	6.0 	5.6 	5.2 
Y30-39,PC_EMP,SK	3.1 	3.5 	2.4 	2.8 	2.7 	2.3 	2.6 	2.8 
Y30-39,PC_EMP,TR	2.7 	2.7 	2.7 	2.6 	2.8 b	2.8 	2.5 	2.6 
Y30-39,PC_EMP,UK	5.0 	5.2 	5.1 	5.3 	4.9 	5.3 	4.9 	5.0 
Y30-39,THS_PER,AT	49.5 	45.7 	46.6 	45.6 	38 	39.7 	46.4 	40.3 
Y30-39,THS_PER,BE	55.5 b	56.4 b	48.7 	52.7 	53.4 	53.5 	53.3 b	48.8 
Y30-39,THS_PER,BG	23.4 	22.6 	21.7 	22.5 	22.5 	23.8 	24 	22.7 
Y30-39,THS_PER,CH	55.9 	54.5 	57.6 	54 	50.9 	46 	49.7 	50.4 
Y30-39,THS_PER,CY	4.5 	4.2 	3.7 	3.1 b	3.1 	3 	3 	3.4 
Y30-39,THS_PER,CZ	54.3 	59.5 	60.3 	57.2 	53.6 	57.5 	52.6 	49.4 
Y30-39,THS_PER,DE	365.4 	362.6 	364.2 	373.3 	370.1 	372.7 	381.4 b	363.7 
Y30-39,THS_PER,DK	27.2 	26.6 b	31.3 b	31.6 	28.6 	31.6 	32.2 	32.3 
Y30-39,THS_PER,EE	9.5 	8.5 	9.4 	9.5 	6.9 	8.7 	7.7 	6.4 
Y30-39,THS_PER,EL	36 	38.3 	40.3 	34.3 	33.9 	40.9 	43.1 	46.5 
Y30-39,THS_PER,ES	185.8 	196.5 	189.1 	196.6 	209.6 	201.3 	193.9 	195.2 
Y30-39,THS_PER,EU28	2203.3 	2209.5 	2186.1 	2201.1 	2186.9 	2233.7 	2177.7 	2182.1 
Y30-39,THS_PER,FI	32.9 	29.1 	30.6 	31.6 	28.8 	32.4 	32.8 	34.4 
Y30-39,THS_PER,FR	247.8 	229 	225.9 	228.5 	245.3 b	248.1 b	220.9 	255 
Y30-39,THS_PER,HR	12.6 	16.6 	15.2 	18 	17.2 	18.6 	16.2 	22.7 
Y30-39,THS_PER,HU	34.9 	39.1 	42.2 	42.2 	42.2 	51.7 	44.3 	44.7 
Y30-39,THS_PER,IE	23.1 	21.4 b	20.4 	20.6 	22.8 	21.4 	19.9 	20.4 
Y30-39,THS_PER,IS	3 	2.3 	2.6 	2.4 	2.8 	2.6 	2.5 	2.6 
Y30-39,THS_PER,IT	187.9 	205.6 b	204.4 	197.9 	212.2 	222.9 	233.2 	240.8 
Y30-39,THS_PER,LT	14.1 	11.7 	11.9 	11.6 	11.5 	11.5 	11.4 	10.6 
Y30-39,THS_PER,LU	5 	4.3 	3.5 	3.6 b	3.9 	3.4 	3.9 	3.8 
Y30-39,THS_PER,LV	8.5 	9.8 	8.6 	7.4 	8 	7.9 	7.1 	6 
Y30-39,THS_PER,ME	2.9 	1.6 u	1.9 u	2.1 	2.5 	2.5 	2.1 	2.3 
Y30-39,THS_PER,MK	7.6 	8.2 	7.3 	5.6 	8.2 	7.8 	8.2 	8.1 
Y30-39,THS_PER,MT	3.7 	3 	3 	2.6 	2.7 	2.2 	2.1 	1.7 
Y30-39,THS_PER,NL	93.4 	82.3 	88 	89.8 	83.3 	87.6 b	87.1 	82.1 
Y30-39,THS_PER,NO	25.6 	26.9 	27 	25.2 	26.4 	29.8 	34.2 	32.1 
Y30-39,THS_PER,PL	178.1 	177.7 	178.6 	177.6 	168.3 	165.4 	162.1 	154.7 
Y30-39,THS_PER,PT	40.3 	44.8 	45.1 	47.5 	50.7 	48.3 	41.9 	45.8 
Y30-39,THS_PER,RO	45.4 	43.6 	40 	38.5 	45.5 	36.4 	45.6 	36 
Y30-39,THS_PER,RS	26.4 	28.6 	24.5 	24 b	29.1 b	23.8 	15.1 	13.8 
Y30-39,THS_PER,SE	58.6 	58.3 	59.9 	58.1 	58.2 	56.8 	54.9 	55.7 
Y30-39,THS_PER,SI	12.9 	16 	15.9 	14 	17 	15.7 	15.2 	14 
Y30-39,THS_PER,SK	21.3 	24.4 	16.9 	19.3 	18.2 	15.6 	17.5 	18.8 
Y30-39,THS_PER,TR	222.4 	218.2 	213 	203.7 	216.6 b	216.8 	186.8 	185.8 
Y30-39,THS_PER,UK	371.8 	371.8 	360.6 	365.7 	331.3 	355.2 	323.8 	326.1 
Y40-49,PC_EMP,AT	3.9 	3.8 	4.2 	4.3 	4.1 	4.1 	3.7 	3.7 
Y40-49,PC_EMP,BE	4.3 b	4.0 b	3.7 	3.8 	4.1 	3.1 	3.5 b	3.6 
Y40-49,PC_EMP,BG	2.5 	2.6 	2.5 	2.4 	2.1 	2.3 	2.3 	2.0 
Y40-49,PC_EMP,CH	5.1 	4.8 	4.2 	4.4 	4.4 	4.9 	4.6 	4.2 
Y40-49,PC_EMP,CY	3.6 	3.1 	3.1 	3.2 b	3.2 	3.8 	2.9 	2.5 
Y40-49,PC_EMP,CZ	3.5 	3.4 	3.9 	3.4 	3.6 	3.5 	3.8 	3.5 
Y40-49,PC_EMP,DE	4.0 	3.9 	4.1 	4.1 	4.2 	4.3 	4.3 b	4.0 
Y40-49,PC_EMP,DK	4.3 	4.7 b	4.5 b	4.5 	4.6 	4.7 	4.6 	4.2 
Y40-49,PC_EMP,EE	4.4 	4.8 	4.5 	5.7 	4.6 	5.7 	5.5 	4.3 
Y40-49,PC_EMP,EL	3.5 	3.3 	3.3 	3.0 	3.5 	3.3 	3.1 	2.7 
Y40-49,PC_EMP,ES	3.5 	3.6 	3.6 	3.3 	3.2 	3.1 	3.0 	2.8 
Y40-49,PC_EMP,EU28	3.7 	3.7 	3.7 	3.7 	3.7 	3.6 	3.7 	3.5 
Y40-49,PC_EMP,FI	5.1 	4.4 	4.9 	5.3 	4.6 	4.3 	5.1 	4.8 
Y40-49,PC_EMP,FR	3.3 	3.3 	3.3 	3.1 	3.2 b	3.0 b	3.2 	3.3 
Y40-49,PC_EMP,HR	4.4 	3.6 	3.1 	3.5 	4.4 	2.7 	4.2 	4.1 
Y40-49,PC_EMP,HU	3.1 	3.3 	3.4 	3.6 	3.4 	3.6 	3.5 	3.5 
Y40-49,PC_EMP,IE	3.7 	3.6 b	4.2 	4.3 	4.2 	4.3 	3.7 	3.7 
Y40-49,PC_EMP,IS	5.5 	5.7 	6.3 	6.6 	5.5 	5.4 	5.2 	5.8 
Y40-49,PC_EMP,IT	3.7 	3.5 b	3.4 	3.7 	3.7 	3.5 	3.6 	3.4 
Y40-49,PC_EMP,LT	3.4 	3.0 	3.0 	3.8 	3.7 	3.3 	3.2 	3.5 
Y40-49,PC_EMP,LU	5.5 	4.7 	5.7 	5.0 b	7.2 	5.0 	5.3 	4.5 
Y40-49,PC_EMP,LV	3.0 	3.4 	3.6 	3.6 	3.4 	3.6 	3.4 	2.9 
Y40-49,PC_EMP,ME	3.8 	3.4 	3.2 u	3.1 u	4.7 	4.3 	2.4 u	4.7 
