age,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
Y_GE65,THS_PER,NL	19.6 	15.4 	14.3 	14.7 	17.7 	17.3 b	15.9 	11.5 
Y_GE65,THS_PER,NO	5.5 	5.5 	5.5 	5.8 	5.4 	4.6 	5.4 	3.9 
Y_GE65,THS_PER,PL	16.4 	15.6 	12.8 u	11.7 u	13 u	11.4 u	13.9 u	13.7 u
Y_GE65,THS_PER,PT	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,RO	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,RS	2 u	1.4 u	1.1 u	: bu	: bu	: u	: u	: u
Y_GE65,THS_PER,SE	13.1 	14.1 	13.4 	15.1 	13.8 	10.8 	10.7 	10.4 
Y_GE65,THS_PER,SI	0.9 u	0.8 u	: u	: u	: u	0.5 u	: u	: u
Y_GE65,THS_PER,SK	2.8 u	2.1 u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,TR	8.7 	9.9 	4.7 	6.1 	5.6 b	2.8 	2.2 u	1.7 u
Y_GE65,THS_PER,UK	82 	82.2 	82.5 	91.8 	77.6 	77.1 	67.2 	58 
