sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
M,PC_EMP,FI	4.5 	4.4 	4.6 	4.8 	4.4 	4.4 	4.6 	5.1 
M,PC_EMP,FR	3.6 	3.6 	3.6 	3.5 	3.6 b	3.7 b	3.5 	3.8 
M,PC_EMP,HR	3.1 	3.6 	2.9 	2.9 	3.4 	3.5 	3.5 	3.5 
M,PC_EMP,HU	3.0 	3.0 	3.3 	3.4 	3.5 	3.7 	3.6 	3.8 
M,PC_EMP,IE	3.4 	3.4 b	3.6 	3.6 	3.7 	3.6 	3.6 	3.5 
M,PC_EMP,IS	4.8 	5.4 	6.3 	6.1 	5.2 	5.8 	5.1 	5.5 
M,PC_EMP,IT	3.5 	3.5 b	3.3 	3.5 	3.5 	3.6 	3.6 	3.4 
M,PC_EMP,LT	3.2 	2.9 	2.4 	2.6 	3.1 	2.9 	2.6 	2.6 
M,PC_EMP,LU	4.4 	4.0 	4.0 	4.2 b	5.3 	4.7 	4.8 	5.0 
M,PC_EMP,LV	2.3 	2.9 	3.2 	2.6 	2.7 	2.7 	2.6 	2.3 
M,PC_EMP,ME	3.5 	3.0 	3.2 	3.1 	3.7 	4.1 	3.4 	3.4 
M,PC_EMP,MK	2.5 	2.6 	2.4 	2.5 	2.8 	2.8 	3.5 	3.5 
M,PC_EMP,MT	4.7 	4.8 	4.7 	4.9 	4.8 	4.4 	4.4 	4.3 
M,PC_EMP,NL	4.8 	4.7 	4.7 	4.9 	5.0 	5.0 b	4.8 	4.6 
M,PC_EMP,NO	3.8 	3.7 	3.7 	3.7 	3.9 	4.3 	4.7 	4.4 
M,PC_EMP,PL	3.1 	2.9 	2.9 	2.8 	2.8 	2.9 	2.9 	2.9 
M,PC_EMP,PT	3.6 	3.3 	3.2 	3.3 	3.1 	3.1 	3.1 	2.9 
M,PC_EMP,RO	1.5 	1.4 	1.4 	1.2 	1.3 	1.2 	1.3 	1.3 
M,PC_EMP,RS	2.9 	2.8 	3.0 	3.2 b	3.4 b	3.4 	1.7 	2.1 
M,PC_EMP,SE	4.4 	4.5 	4.6 	4.4 	4.5 	4.8 	4.9 	4.7 
M,PC_EMP,SI	4.8 	4.5 	4.4 	4.3 	4.5 	4.8 	4.4 	4.0 
M,PC_EMP,SK	2.6 	2.7 	2.2 	2.3 	2.4 	2.1 	2.1 	2.2 
M,PC_EMP,TR	1.7 	1.8 	1.8 	1.7 	1.8 b	1.7 	1.7 	1.7 
M,PC_EMP,UK	5.0 	5.0 	5.1 	5.1 	5.0 	5.0 	5.1 	4.8 
M,THS_PER,AT	101.3 	96.9 	89.5 	92.1 	92.6 	94.1 	84.8 	88 
M,THS_PER,BE	112 b	108.3 b	99.9 	102.3 	101.9 	97.4 	102.7 b	101 
M,THS_PER,BG	36 	38.2 	38.4 	39.7 	35.1 	34.7 	36.6 	34.8 
M,THS_PER,CH	112.4 	112.8 	113.3 	122.4 	119 	118.2 	121.7 	118 
M,THS_PER,CY	7.1 	7 	6.6 	6.7 b	6 	6.5 	6 	5.6 
M,THS_PER,CZ	99.5 	103.8 	108 	96.2 	97.8 	98.5 	92 	87.8 
M,THS_PER,DE	876.5 	876.6 	871.8 	865.7 	866.8 	890.7 	905.5 b	861.4 
M,THS_PER,DK	59.3 	60.9 b	63.2 b	62.2 	60.8 	61.8 	60.3 	59.7 
M,THS_PER,EE	15.2 	13.2 	13 	13.5 	11.5 	14.6 	12.5 	10.6 
M,THS_PER,EL	68.1 	68 	66.1 	58.3 	65.4 	70.9 	74 	71.4 
M,THS_PER,ES	399.5 	386.5 	364.9 	358.3 	345.7 	326.8 	323.4 	339 
M,THS_PER,EU28	4704.7 	4641.4 	4526.6 	4480.5 	4462.7 	4455 	4459.8 	4364.2 
M,THS_PER,FI	59.3 	56.6 	58.1 	60.1 	55.5 	55.8 	59.3 	64.8 
M,THS_PER,FR	498.9 	504.3 	489.8 	471.4 	496 b	497.5 b	475.3 	508.8 
